  Generating ../edge.epk
  Adding graphics/heretic/h_epi3.gfx              59.0% [  1518/  3706] Deflate
  Adding graphics/heretic/h_epi4.gfx              53.9% [  1004/  2176] Deflate
  Adding graphics/heretic/h_epi5.gfx              67.3% [  1361/  4157] Deflate
  Adding graphics/heretic/h_episod.gfx            58.7% [  1249/  3025] Deflate
  Adding graphics/heretic/h_fslot.gfx             88.9% [   571/  5140] Deflate
  Adding graphics/heretic/h_gamepl(1).gfx         59.5% [  1417/  3502] Deflate
  Adding graphics/heretic/h_gamepl.gfx            59.5% [  1447/  3569] Deflate
  Adding graphics/heretic/h_gamfil.gfx            53.7% [   919/  1983] Deflate
  Adding graphics/heretic/h_hostng.gfx            56.2% [  1143/  2612] Deflate
  Adding graphics/heretic/h_hurt.gfx              63.1% [  1408/  3816] Deflate
  Adding graphics/heretic/h_jkill.gfx             66.6% [  1541/  4611] Deflate
  Adding graphics/heretic/h_joinng.gfx            57.0% [  1112/  2586] Deflate
  Adding graphics/heretic/h_loadg.gfx             54.9% [   910/  2016] Deflate
  Adding graphics/heretic/h_msettl(1).gfx         60.5% [  1100/  2785] Deflate
  Adding graphics/heretic/h_msettl.gfx            60.5% [  1126/  2848] Deflate
  Adding graphics/heretic/h_multi.gfx             53.7% [  1017/  2196] Deflate
  Adding graphics/heretic/h_ngame.gfx             55.1% [   872/  1942] Deflate
  Adding graphics/heretic/h_nmare.gfx             67.9% [  1740/  5422] Deflate
  Adding graphics/heretic/h_option.gfx            54.9% [   723/  1604] Deflate
  Adding graphics/heretic/h_quitg.gfx             50.6% [   946/  1915] Deflate
  Adding graphics/heretic/h_rdthis.gfx            48.2% [   456/   880] Deflate
  Adding graphics/heretic/h_rough.gfx             63.0% [  1274/  3446] Deflate
  Adding graphics/heretic/h_saveg.gfx             58.2% [   853/  2040] Deflate
  Adding graphics/heretic/h_scropt.gfx            62.0% [  1068/  2811] Deflate
  Adding graphics/heretic/h_setres.gfx            61.6% [   985/  2565] Deflate
  Adding graphics/heretic/h_sfxopt.gfx            62.5% [  1047/  2792] Deflate
